Loan Type,Encoded Value
"Credit-Builder Loan, Mortgage Loan, Auto Loan, and Payday Loan",791
"Not Specified, Not Specified, Mortgage Loan, Home Equity Loan, and Not Specified",104
"Not Specified, Auto Loan, and Mortgage Loan",319
"Payday Loan, Debt Consolidation Loan, Home Equity Loan, Credit-Builder Loan, and Auto Loan",136
"Payday Loan, Mortgage Loan, Student Loan, Not Specified, Payday Loan, and Home Equity Loan",820
"Personal Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",988
"Auto Loan, Credit-Builder Loan, Auto Loan, and Auto Loan",428
"Personal Loan, Debt Consolidation Loan, Student Loan, Mortgage Loan, and Personal Loan",758
"Credit-Builder Loan, Not Specified, Credit-Builder Loan, and Home Equity Loan",326
"Debt Consolidation Loan, Personal Loan, and Auto Loan",241
"Debt Consolidation Loan, Payday Loan, Home Equity Loan, Personal Loan, Personal Loan, Credit-Builder Loan, and Student Loan",118
"Personal Loan, Student Loan, Student Loan, and Payday Loan",894
"Not Specified, Mortgage Loan, and Debt Consolidation Loan",344
"Auto Loan, Payday Loan, Auto Loan, and Payday Loan",184
"Debt Consolidation Loan, Payday Loan, Personal Loan, and Payday Loan",151
"Auto Loan, Mortgage Loan, Personal Loan, Auto Loan, Payday Loan, Credit-Builder Loan, Mortgage Loan, Payday Loan, and Payday Loan",734
"Credit-Builder Loan, Home Equity Loan, Auto Loan, Personal Loan, Auto Loan, and Student Loan",348
"Student Loan, Personal Loan, Debt Consolidation Loan, and Not Specified",288
"Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, and Home Equity Loan",632
"Credit-Builder Loan, Personal Loan, Auto Loan, Payday Loan, Personal Loan, Mortgage Loan, Home Equity Loan, and Payday Loan",593
"Mortgage Loan, Auto Loan, Home Equity Loan, Home Equity Loan, Personal Loan, and Auto Loan",146
"Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, Auto Loan, and Home Equity Loan",600
"Home Equity Loan, Personal Loan, and Personal Loan",912
"Credit-Builder Loan, Debt Consolidation Loan, Mortgage Loan, Payday Loan, Mortgage Loan, and Personal Loan",186
"Personal Loan, Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, and Payday Loan",425
"Personal Loan, Debt Consolidation Loan, Personal Loan, Home Equity Loan, Mortgage Loan, Mortgage Loan, and Not Specified",555
"Payday Loan, Student Loan, Payday Loan, Credit-Builder Loan, Student Loan, Debt Consolidation Loan, and Payday Loan",515
"Auto Loan, Auto Loan, Payday Loan, and Debt Consolidation Loan",870
"Student Loan, Auto Loan, Personal Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",276
"Payday Loan, Payday Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Personal Loan, and Not Specified",215
"Not Specified, Payday Loan, Student Loan, and Auto Loan",141
"Personal Loan, Mortgage Loan, and Credit-Builder Loan",562
"Not Specified, Credit-Builder Loan, and Payday Loan",620
"Student Loan, Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, Home Equity Loan, and Credit-Builder Loan",151
"Home Equity Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, and Debt Consolidation Loan",763
"Credit-Builder Loan, Not Specified, Personal Loan, Credit-Builder Loan, Student Loan, Home Equity Loan, and Debt Consolidation Loan",819
"Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Mortgage Loan, and Personal Loan",415
"Debt Consolidation Loan, Student Loan, Home Equity Loan, Home Equity Loan, and Auto Loan",583
"Home Equity Loan, Credit-Builder Loan, Not Specified, Auto Loan, Auto Loan, Auto Loan, Auto Loan, and Not Specified",264
"Auto Loan, Payday Loan, Personal Loan, Auto Loan, Payday Loan, and Credit-Builder Loan",563
"Payday Loan, Debt Consolidation Loan, Auto Loan, and Credit-Builder Loan",119
"Not Specified, Mortgage Loan, Student Loan, Student Loan, Student Loan, Credit-Builder Loan, Auto Loan, and Credit-Builder Loan",875
"Credit-Builder Loan, Home Equity Loan, Mortgage Loan, and Debt Consolidation Loan",177
"Credit-Builder Loan, Payday Loan, and Not Specified",180
"Home Equity Loan, Credit-Builder Loan, Student Loan, Not Specified, Credit-Builder Loan, Auto Loan, and Payday Loan",236
"Payday Loan, Student Loan, Home Equity Loan, Not Specified, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Auto Loan, and Home Equity Loan",713
"Personal Loan, Not Specified, Mortgage Loan, Payday Loan, Home Equity Loan, Not Specified, and Mortgage Loan",516
"Payday Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, and Personal Loan",652
"Mortgage Loan, Mortgage Loan, Student Loan, Student Loan, Home Equity Loan, and Auto Loan",508
"Home Equity Loan, Payday Loan, Personal Loan, Home Equity Loan, Mortgage Loan, and Mortgage Loan",821
"Student Loan, Not Specified, Credit-Builder Loan, and Auto Loan",908
"Credit-Builder Loan, Personal Loan, Not Specified, Credit-Builder Loan, and Home Equity Loan",187
"Credit-Builder Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, and Student Loan",378
"Auto Loan, Student Loan, and Mortgage Loan",673
"Payday Loan, Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, and Personal Loan",647
"Home Equity Loan, Student Loan, Auto Loan, and Not Specified",784
"Credit-Builder Loan, Student Loan, Debt Consolidation Loan, Student Loan, Credit-Builder Loan, Student Loan, and Debt Consolidation Loan",698
"Payday Loan, Mortgage Loan, Payday Loan, Payday Loan, and Credit-Builder Loan",282
"Mortgage Loan, Debt Consolidation Loan, Mortgage Loan, Payday Loan, Debt Consolidation Loan, Home Equity Loan, and Personal Loan",896
"Student Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan",479
"Payday Loan, Not Specified, Payday Loan, Personal Loan, Credit-Builder Loan, and Credit-Builder Loan",747
"Home Equity Loan, Student Loan, Personal Loan, Mortgage Loan, Mortgage Loan, Not Specified, Personal Loan, and Credit-Builder Loan",404
"Debt Consolidation Loan, Personal Loan, Credit-Builder Loan, Auto Loan, Payday Loan, Payday Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",823
"Home Equity Loan, Payday Loan, Auto Loan, Auto Loan, Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",481
"Mortgage Loan, Not Specified, Home Equity Loan, Mortgage Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Personal Loan, and Personal Loan",858
"Auto Loan, Auto Loan, Not Specified, Personal Loan, Payday Loan, and Student Loan",178
"Mortgage Loan, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, and Home Equity Loan",298
"Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, Not Specified, Mortgage Loan, and Credit-Builder Loan",214
"Payday Loan, Personal Loan, Mortgage Loan, and Auto Loan",679
"Credit-Builder Loan, Payday Loan, Student Loan, Debt Consolidation Loan, and Student Loan",643
"Student Loan, Payday Loan, Debt Consolidation Loan, Student Loan, and Credit-Builder Loan",237
"Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Credit-Builder Loan, and Home Equity Loan",341
"Not Specified, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",792
"Not Specified, Auto Loan, Auto Loan, Mortgage Loan, Auto Loan, Payday Loan, Student Loan, Payday Loan, and Mortgage Loan",794
"Not Specified, Personal Loan, Mortgage Loan, Credit-Builder Loan, and Debt Consolidation Loan",941
"Payday Loan, Student Loan, Personal Loan, Personal Loan, and Payday Loan",965
"Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, and Mortgage Loan",516
"Student Loan, Student Loan, Credit-Builder Loan, Auto Loan, Student Loan, Not Specified, and Credit-Builder Loan",135
"Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, Auto Loan, Mortgage Loan, Mortgage Loan, Not Specified, and Mortgage Loan",608
"Debt Consolidation Loan, Personal Loan, Not Specified, Home Equity Loan, Credit-Builder Loan, and Personal Loan",306
"Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, Auto Loan, Payday Loan, Home Equity Loan, Debt Consolidation Loan, Home Equity Loan, and Payday Loan",381
"Mortgage Loan, Auto Loan, Debt Consolidation Loan, Not Specified, Home Equity Loan, Not Specified, and Auto Loan",932
"Mortgage Loan, Auto Loan, Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, and Auto Loan",338
"Debt Consolidation Loan, Personal Loan, Payday Loan, Student Loan, Payday Loan, and Personal Loan",486
"Student Loan, Payday Loan, Not Specified, Credit-Builder Loan, Personal Loan, and Debt Consolidation Loan",515
"Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, and Mortgage Loan",475
"Not Specified, Debt Consolidation Loan, and Student Loan",339
"Auto Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Auto Loan, Mortgage Loan, Mortgage Loan, Personal Loan, and Not Specified",438
"Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",579
"Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, Home Equity Loan, and Personal Loan",347
"Debt Consolidation Loan, Student Loan, Auto Loan, Personal Loan, and Home Equity Loan",251
"Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Personal Loan",450
"Home Equity Loan, Auto Loan, Credit-Builder Loan, and Debt Consolidation Loan",678
"Auto Loan, Not Specified, Student Loan, Home Equity Loan, Mortgage Loan, Auto Loan, and Auto Loan",456
"Not Specified, Home Equity Loan, Student Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan",740
"Auto Loan, Payday Loan, Auto Loan, Mortgage Loan, Debt Consolidation Loan, and Home Equity Loan",948
"Student Loan, Personal Loan, Debt Consolidation Loan, Student Loan, Payday Loan, and Student Loan",436
"Not Specified, Mortgage Loan, Personal Loan, and Mortgage Loan",933
"Auto Loan, Home Equity Loan, Credit-Builder Loan, and Student Loan",522
"Debt Consolidation Loan, Student Loan, Student Loan, Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, Payday Loan, and Not Specified",835
"Mortgage Loan, Payday Loan, Debt Consolidation Loan, Auto Loan, Student Loan, Payday Loan, and Credit-Builder Loan",443
"Student Loan, Student Loan, Debt Consolidation Loan, Credit-Builder Loan, Not Specified, and Personal Loan",289
"Payday Loan, Student Loan, Payday Loan, and Not Specified",457
"Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan",848
"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, and Personal Loan",444
"Home Equity Loan, Payday Loan, Home Equity Loan, and Auto Loan",232
"Auto Loan, Home Equity Loan, and Debt Consolidation Loan",633
"Personal Loan, Mortgage Loan, Personal Loan, Credit-Builder Loan, Not Specified, Auto Loan, and Auto Loan",828
"Home Equity Loan, Auto Loan, Payday Loan, Not Specified, Auto Loan, and Not Specified",661
"Not Specified, Mortgage Loan, Home Equity Loan, Not Specified, Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, and Mortgage Loan",656
"Not Specified, Home Equity Loan, Personal Loan, Auto Loan, Payday Loan, Mortgage Loan, Credit-Builder Loan, and Credit-Builder Loan",191
"Home Equity Loan, Auto Loan, and Payday Loan",977
"Credit-Builder Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, and Debt Consolidation Loan",804
"Home Equity Loan, Mortgage Loan, Student Loan, and Student Loan",639
"Credit-Builder Loan, Personal Loan, Auto Loan, Not Specified, Credit-Builder Loan, and Credit-Builder Loan",805
"Mortgage Loan, Auto Loan, Not Specified, and Payday Loan",421
"Not Specified, Mortgage Loan, Not Specified, Home Equity Loan, and Payday Loan",508
"Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Credit-Builder Loan",473
"Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, and Home Equity Loan",891
"Auto Loan, Payday Loan, Home Equity Loan, Payday Loan, and Not Specified",876
"Mortgage Loan, Credit-Builder Loan, Student Loan, Credit-Builder Loan, Personal Loan, Mortgage Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",655
"Debt Consolidation Loan, Personal Loan, Student Loan, Debt Consolidation Loan, Auto Loan, and Personal Loan",814
"Mortgage Loan, Student Loan, Mortgage Loan, Not Specified, Auto Loan, Home Equity Loan, and Home Equity Loan",538
"Credit-Builder Loan, Home Equity Loan, Mortgage Loan, Personal Loan, and Credit-Builder Loan",520
"Not Specified, Student Loan, Student Loan, Mortgage Loan, Home Equity Loan, Personal Loan, Home Equity Loan, and Student Loan",540
"Credit-Builder Loan, Payday Loan, and Student Loan",209
"Payday Loan, Payday Loan, Not Specified, and Payday Loan",843
"Home Equity Loan, Auto Loan, Debt Consolidation Loan, Personal Loan, Auto Loan, Home Equity Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",535
"Student Loan, Home Equity Loan, Not Specified, and Debt Consolidation Loan",445
"Student Loan, Personal Loan, Not Specified, and Personal Loan",341
"Payday Loan, Payday Loan, Mortgage Loan, and Payday Loan",924
"Not Specified, Debt Consolidation Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, and Payday Loan",899
"Home Equity Loan, Mortgage Loan, Mortgage Loan, Auto Loan, and Home Equity Loan",833
"Not Specified, Home Equity Loan, and Personal Loan",987
"Not Specified, Debt Consolidation Loan, Personal Loan, and Payday Loan",778
"Mortgage Loan, Payday Loan, Not Specified, Personal Loan, Mortgage Loan, and Debt Consolidation Loan",910
"Payday Loan, Not Specified, Auto Loan, Payday Loan, Home Equity Loan, Personal Loan, and Personal Loan",176
"Not Specified, Not Specified, and Personal Loan",410
"Payday Loan, Personal Loan, Credit-Builder Loan, and Payday Loan",191
"Student Loan, Payday Loan, and Auto Loan",125
"Payday Loan, Home Equity Loan, Credit-Builder Loan, and Not Specified",277
"Mortgage Loan, Mortgage Loan, Payday Loan, Personal Loan, Debt Consolidation Loan, Auto Loan, Not Specified, Auto Loan, and Auto Loan",336
"Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, Not Specified, Auto Loan, and Debt Consolidation Loan",495
"Not Specified, Mortgage Loan, Auto Loan, Not Specified, and Credit-Builder Loan",671
"Not Specified, Not Specified, Mortgage Loan, Mortgage Loan, Payday Loan, and Payday Loan",542
"Mortgage Loan, Student Loan, and Auto Loan",214
"Mortgage Loan, Personal Loan, Credit-Builder Loan, Not Specified, Personal Loan, and Personal Loan",782
"Mortgage Loan, Payday Loan, Auto Loan, and Personal Loan",776
"Not Specified, Payday Loan, Not Specified, Credit-Builder Loan, Auto Loan, Payday Loan, and Mortgage Loan",862
"Auto Loan, Debt Consolidation Loan, Mortgage Loan, Debt Consolidation Loan, and Home Equity Loan",734
"Debt Consolidation Loan, Not Specified, Not Specified, Payday Loan, and Student Loan",247
"Credit-Builder Loan, Not Specified, Not Specified, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, Not Specified, and Mortgage Loan",877
"Student Loan, Personal Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Payday Loan",436
"Credit-Builder Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, Student Loan, Personal Loan, and Credit-Builder Loan",372
"Not Specified, Payday Loan, Not Specified, Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",481
"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, and Not Specified",278
"Mortgage Loan, Not Specified, Payday Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, and Home Equity Loan",579
"Student Loan, Credit-Builder Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Debt Consolidation Loan",331
"Not Specified, Not Specified, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Not Specified, and Student Loan",545
"Payday Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, Payday Loan, Personal Loan, Not Specified, and Auto Loan",403
"Credit-Builder Loan, Home Equity Loan, Not Specified, Mortgage Loan, Home Equity Loan, and Student Loan",221
"Home Equity Loan, Student Loan, Home Equity Loan, and Personal Loan",949
"Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, and Mortgage Loan",116
"Payday Loan, Home Equity Loan, Student Loan, Mortgage Loan, and Mortgage Loan",166
"Not Specified, Credit-Builder Loan, Payday Loan, Mortgage Loan, and Home Equity Loan",742
"Not Specified, Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",964
"Payday Loan, Credit-Builder Loan, and Credit-Builder Loan",210
"Home Equity Loan, Personal Loan, Payday Loan, Payday Loan, Auto Loan, and Home Equity Loan",190
